2025-06-07 20:51:54 | ERROR    | src.services.gemini_service:test_connection:123 - Gemini connection test failed: 404 models/gemini-pro is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.
2025-06-07 20:52:00 | ERROR    | src.services.gemini_service:test_connection:123 - Gemini connection test failed: 404 models/gemini-pro is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.
2025-06-07 20:52:00 | ERROR    | src.api.routes:health_check:50 - Health check failed: name 'datetime' is not defined
2025-06-07 20:52:01 | ERROR    | src.services.gemini_service:test_connection:123 - Gemini connection test failed: 404 models/gemini-pro is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.
2025-06-07 20:52:01 | ERROR    | src.api.routes:health_check:50 - Health check failed: name 'datetime' is not defined
2025-06-07 20:52:11 | ERROR    | src.services.gemini_service:test_connection:123 - Gemini connection test failed: 404 models/gemini-pro is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.
2025-06-07 20:52:11 | ERROR    | src.api.routes:health_check:50 - Health check failed: name 'datetime' is not defined
2025-06-07 20:52:13 | ERROR    | src.services.gemini_service:test_connection:123 - Gemini connection test failed: 404 models/gemini-pro is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.
2025-06-07 20:52:13 | ERROR    | src.api.routes:health_check:50 - Health check failed: name 'datetime' is not defined
2025-06-07 20:53:51 | ERROR    | src.services.gemini_service:test_connection:123 - Gemini connection test failed: 404 models/gemini-pro is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.
2025-06-07 20:53:52 | ERROR    | src.services.gemini_service:test_connection:123 - Gemini connection test failed: 404 models/gemini-pro is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.
2025-06-07 20:53:52 | ERROR    | src.api.routes:health_check:50 - Health check failed: name 'datetime' is not defined
2025-06-07 20:53:54 | ERROR    | src.services.gemini_service:test_connection:123 - Gemini connection test failed: 404 models/gemini-pro is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.
2025-06-07 20:53:54 | ERROR    | src.api.routes:health_check:50 - Health check failed: name 'datetime' is not defined
2025-06-07 20:53:58 | ERROR    | src.services.gemini_service:test_connection:123 - Gemini connection test failed: 404 models/gemini-pro is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.
2025-06-07 20:54:39 | INFO     | src.services.vector_store:search_similar_documents:120 - Found 0 similar documents for query
2025-06-07 20:54:39 | INFO     | src.services.rag_service:process_question:53 - Retrieved 0 relevant chunks for question
2025-06-07 20:54:39 | ERROR    | src.services.gemini_service:generate_simple_response:114 - Error generating simple response: 404 models/gemini-pro is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.
2025-06-07 20:55:36 | ERROR    | src.services.gemini_service:test_connection:123 - Gemini connection test failed: 404 models/gemini-pro is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.
2025-06-07 20:55:37 | ERROR    | src.services.gemini_service:test_connection:123 - Gemini connection test failed: 404 models/gemini-pro is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.
2025-06-07 20:55:37 | ERROR    | src.api.routes:health_check:50 - Health check failed: name 'datetime' is not defined
2025-06-07 20:55:38 | ERROR    | src.services.gemini_service:test_connection:123 - Gemini connection test failed: 404 models/gemini-pro is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.
2025-06-07 20:55:38 | ERROR    | src.api.routes:health_check:50 - Health check failed: name 'datetime' is not defined
2025-06-07 20:55:54 | INFO     | src.services.vector_store:delete_documents_by_namespace:157 - Deleted 6 documents from namespace skripsi_mahasiswa_f568f667-bd71-45f8-9330-b5900a7ab515
2025-06-07 20:56:43 | INFO     | src.services.pdf_processor:chunk_text:139 - Created 10 chunks from document
2025-06-07 20:56:43 | INFO     | src.services.vector_store:add_documents:72 - Added 10 documents to collection documents
2025-06-07 20:56:43 | INFO     | src.api.routes:upload_student_thesis:142 - Successfully processed thesis khairil rahman hakiki - 2217020020.pdf: 10 chunks created
2025-06-07 20:57:33 | INFO     | src.services.vector_store:search_similar_documents:120 - Found 0 similar documents for query
2025-06-07 20:57:33 | INFO     | src.services.rag_service:process_question:53 - Retrieved 0 relevant chunks for question
2025-06-07 20:57:33 | ERROR    | src.services.gemini_service:generate_simple_response:114 - Error generating simple response: 404 models/gemini-pro is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.
2025-06-07 20:58:34 | INFO     | src.services.vector_store:search_similar_documents:120 - Found 0 similar documents for query
2025-06-07 20:58:34 | INFO     | src.services.rag_service:process_question:53 - Retrieved 0 relevant chunks for question
2025-06-07 20:58:34 | ERROR    | src.services.gemini_service:generate_simple_response:114 - Error generating simple response: 404 models/gemini-pro is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.
2025-06-07 20:58:34 | INFO     | main:lifespan:47 - Shutting down RAG LLM Assistant...
2025-06-07 20:58:53 | INFO     | main:lifespan:38 - Starting RAG LLM Assistant...
2025-06-07 20:58:53 | INFO     | main:lifespan:45 - Application started successfully
2025-06-07 20:59:26 | INFO     | src.services.vector_store:search_similar_documents:120 - Found 0 similar documents for query
2025-06-07 20:59:26 | INFO     | src.services.rag_service:process_question:53 - Retrieved 0 relevant chunks for question
2025-06-07 21:00:00 | INFO     | src.services.pdf_processor:chunk_text:139 - Created 0 chunks from document
2025-06-07 21:00:00 | ERROR    | src.services.vector_store:add_documents:76 - Error adding documents to vector store: list index out of range
2025-06-07 21:00:00 | ERROR    | src.api.routes:upload_guidelines:101 - Error uploading guidelines: list index out of range
